"Make","Model","Price","Mileage"
"FORD","FIESTA",6795,17301
"FORD","FIESTA",7000,11888
"FORD","FIESTA",6783,8357
"FORD","FIESTA",7995,6081
"FORD","FIESTA",8995,10150
"FORD","FIESTA",8500,9519
"FORD","FIESTA",10995,5
"FORD","FIESTA",8985,10
"FORD","FIESTA",8600,7130
"FORD","FIESTA",7299,12486
"FORD","FIESTA",6999,24446
"FORD","FIESTA",8295,15636
"FORD","FIESTA",7999,18888
"FORD","FIESTA",7000,8060
"FORD","FIESTA",7400,21250
"FORD","FIESTA",7990,18600
"FORD","FIESTA",6995,21500
"FORD","FIESTA",6990,22000
"FORD","FIESTA",6572,29496
"FORD","FIESTA",7690,15438
"FORD","FIESTA",7995,17780
"FORD","FIESTA",7810,30664
"FORD","FIESTA",7250,14200
"FORD","FIESTA",6295,27481
"FORD","FIESTA",6400,23656
"FORD","FIESTA",7995,14888
"FORD","FIESTA",6995,17587
"FORD","FIESTA",6995,19971
"FORD","FIESTA",7950,6819
"FORD","FIESTA",8500,7755
"FORD","FIESTA",10000,2007
"FORD","FIESTA",6495,10523
"FORD","FIESTA",7700,8412
"FORD","FIESTA",6295,11272
"FORD","FIESTA",7490,36480
"FORD","FIESTA",8400,4500
"FORD","FIESTA",7500,21381
"FORD","FIESTA",6971,11925
"FORD","FIESTA",6650,17255
"FORD","FIESTA",7995,9593
"FORD","FIESTA",6578,28928
"FORD","FIESTA",9295,11348
"FORD","FIESTA",6399,20000
"FORD","FIESTA",7750,9169
"FORD","FIESTA",7170,22554
"FORD","FIESTA",7495,21481
"FORD","FIESTA",7191,10193
"FORD","FIESTA",8290,8600
"FORD","FIESTA",7999,20410
"FORD","FIESTA",7850,16302
"FORD","FIESTA",7295,16339
"FORD","FIESTA",5990,39450
"FORD","FIESTA",7599,18188
"FORD","FIESTA",9995,3800
"FORD","FIESTA",9150,5196
"FORD","FIESTA",6497,24566
"FORD","FIESTA",6996,25422
"FORD","FIESTA",9495,7641
"FORD","FIESTA",8500,4753
"FORD","FIESTA",10294,2322
"FORD","FIESTA",7800,12535
"FORD","FIESTA",6042,37178
"FORD","FIESTA",7995,2000
"FORD","FIESTA",7993,13316
"FORD","FIESTA",6990,21000
"FORD","FIESTA",5978,18306
"FORD","FIESTA",7980,21000
"FORD","FIESTA",7292,18000
"FORD","FIESTA",9495,8171
"FORD","FIESTA",7500,10046
"FORD","FIESTA",6998,10283
"FORD","FIESTA",6791,11704
"FORD","FIESTA",7999,24385
"FORD","FIESTA",8799,7267
"FORD","FIESTA",7300,11003
"FORD","FIESTA",8795,3500
"FORD","FIESTA",6980,34662
"FORD","FIESTA",9300,3743
"FORD","FIESTA",5995,31000
"FORD","FIESTA",6150,28450
"FORD","FIESTA",6750,20865
"FORD","FIESTA",7392,3853
"FORD","FIESTA",6988,14043
"FORD","FIESTA",8997,13556
"FORD","FIESTA",9695,2463
"FORD","FIESTA",6795,31652
"FORD","FIESTA",8960,2305
"FORD","FIESTA",8999,7366
"FORD","FIESTA",8995,4012
"FORD","FIESTA",8489,11557
"FORD","FIESTA",7490,23129
"FORD","FIESTA",6700,30545
"FORD","FIESTA",7250,15000
"FORD","FIESTA",7000,24922
"FORD","FIESTA",7000,21629
"FORD","FIESTA",10600,300
"FORD","FIESTA",8299,14487
"FORD","FIESTA",7307,15072
"FORD","FIESTA",8300,12541
"FORD","FIESTA",6000,44207
"FORD","FIESTA",6841,13786
"FORD","FIESTA",6750,22701
"FORD","FIESTA",9395,3129
"FORD","FIESTA",8295,5135
"FORD","FIESTA",6654,24883
"FORD","FIESTA",9000,6921
"FORD","FIESTA",6995,35752
"FORD","FIESTA",8299,20818
"FORD","FIESTA",9850,151
"FORD","FIESTA",5990,41250
"FORD","FIESTA",7994,9190
"FORD","FIESTA",7290,10000
"FORD","FIESTA",6991,9661
"FORD","FIESTA",6800,26083
"FORD","FIESTA",9000,9737
"FORD","FIESTA",9995,3334
"FORD","FIESTA",7800,16000
"FORD","FIESTA",6750,12161
"FORD","FIESTA",8597,11895
"FORD","FIESTA",5989,26000
"FORD","FIESTA",7000,6702
"FORD","FIESTA",7950,19498
"FORD","FIESTA",6500,10271
"FORD","FIESTA",7995,15200
"FORD","FIESTA",8995,23401
"FORD","FIESTA",6990,13932
"FORD","FIESTA",8299,8941
"FORD","FIESTA",8200,4950
"FORD","FIESTA",6995,23700
"FORD","FIESTA",7991,5656
"FORD","FIESTA",8700,7538
"FORD","FIESTA",8500,11324
"FORD","FIESTA",7799,12000
"FORD","FIESTA",6990,13452
"FORD","FIESTA",7218,19231
"FORD","FIESTA",9861,7061
"FORD","FIESTA",7695,23000
"FORD","FIESTA",8300,10032
"FORD","FIESTA",7550,4232
"FORD","FIESTA",6437,20716
"FORD","FIESTA",7990,13281
"FORD","FIESTA",9290,5228
"FORD","FIESTA",8740,4367
"FORD","FIESTA",6760,10522
"FORD","FIESTA",7362,15096
"FORD","FIESTA",7995,12988
"FORD","FIESTA",8890,2200
"FORD","FIESTA",6538,6907
"FORD","FIESTA",7875,2645
"FORD","FIESTA",7000,33013
"FORD","FIESTA",7991,3548
"FORD","FIESTA",8599,9688
"FORD","FIESTA",8000,5421
"FORD","FIESTA",6857,11146
"FORD","FIESTA",9400,7
"FORD","FIESTA",7995,7562
"FORD","FIESTA",6750,19600
"FORD","FIESTA",8000,26306
"FORD","FIESTA",6190,20668
"FORD","FIESTA",6995,1060
"FORD","FIESTA",7758,22828
"FORD","FIESTA",8597,6612
"FORD","FIESTA",8995,10446
"FORD","FIESTA",10495,10
"FORD","FIESTA",7980,10624
"FORD","FIESTA",7500,5349
"FORD","FIESTA",6491,22568
"FORD","FIESTA",7389,8400
"FORD","FIESTA",7000,25757
"FORD","FIESTA",8300,13113
"FORD","FIESTA",7000,9716
"FORD","FIESTA",6000,27236
"FORD","FIESTA",7494,13607
